2026-01-06 09:35:00,529 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 09:35:30,053 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 09:36:00,049 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 09:36:30,050 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 09:37:00,051 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 09:37:30,057 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 09:38:00,053 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 09:38:30,060 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 09:39:00,058 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 09:39:30,060 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 09:40:00,067 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 09:40:30,060 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 09:41:00,058 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 09:41:30,056 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 09:42:00,069 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 09:42:30,055 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 09:43:00,062 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 09:43:30,059 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 09:44:00,059 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 09:44:30,061 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 09:45:00,061 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 09:45:30,068 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 09:46:00,066 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 09:46:30,064 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 09:47:00,062 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 09:47:30,069 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 09:48:00,074 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 09:48:30,066 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 09:49:00,064 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 09:49:30,069 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

